"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","< VALUE >","-3DB BANDWIDTH","ACCESS TIME","ACCURACY","ADDRESS BUS WIDTH","APPROVALS","AVAILABILITY","AVERAGE RECTIFIED CURRENT","BANDWIDTH","BODY MATERIAL","BODY PLATING","BREAKDOWN VOLTAGE","BUILT_BY","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CLAMPING CURRENT","CLAMPING VOLTAGE","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMENT_1","COMMON MODE REJECTION RATIO","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR TYPE","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT RESISTANCE","CONTACT VOLTAGE RATING (AC)","CONTINUOUS DRAIN CURRENT (ID)","COPYRIGHT","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT RATING","CURRENT SENSING","CURRENT TRANSFER RATIO","DATA BUS WIDTH","DATA RATE","DATASHEETVERSION","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICEDESIGNATOR","DEVICENUMBERING","DEVICESINPACKAGE","DEVICESINVIEW","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","DIGIKEY-PURCHASE-URL","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENERGY","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EU_ROHS_COMPLIANCE","EVALUATION KIT","FALL TIME","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUSE CURRENT","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GOVERNMENT QUALIFIED","HALOGEN FREE","HEAVY DUTY","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","ILLUMINATION COLOR","INDUCTANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE (VOS)","INSIDE DIAMETER","INSULATED WIRE SUPPORT","INSULATION","INSULATION DIAMETER","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","ISHETEROGENEOUS","ISOLATION VOLTAGE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS STYLE","LIFE (HOURS)","LINEARITY","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MATERIAL","MATERIAL THICKNESS","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VARISTOR VOLTAGE","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MEMORY SIZE","MEMORY TYPE","MF","MILITARY STANDARD","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN VARISTOR VOLTAGE","MOUNT","MOUSER-PURCHASE-URL","MP","NATURAL THERMAL RESISTANCE","NOMINAL INPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CORES PER JACK","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF HOLES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEVELS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVERS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMITTERS","NUMBER OF UART CHANNELS","NUMBER OF VOLTAGES MONITORED","ON-STATE RESISTANCE","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","ORIENTATION","ORIGINALSYMBOLORIGIN","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT TYPE","OUTPUT VOLTAGE","OUTSIDE DIAMETER","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE QUANTITY","PACKAGEDESCRIPTION","PACKAGENAME","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PANEL MOUNT RETENTION","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PITCH","PLATING","PLATING THICKNESS","POLARITY","POLARIZED","POWER DISSIPATION","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICE","PRICING 1","PRICING 2","PROPAGATION DELAY","PUBLISHED","PUBLISHER","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RDS ON MAX","REACH SVHC","RECOVERY TIME","REFDES","RESET","RESET TIMEOUT","RESISTANCE","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE VOLTAGE","RIPPLE CURRENT","RISE TIME","RJ45","RMS CURRENT (IRMS)","ROW SPACING","SATURATION CURRENT","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SENSITIVITY","SHIELDING","SHROUDED","SIMPLEX/DUPLEX","SLEW RATE","SNAPEDA_LINK","STOCK 1","STOCK 2","STUD DIAMETER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY TYPE","SWITCHING FREQUENCY","SYNCHRONOUS RECTIFIER","TE_PURCHASE_URL","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TIME FORMAT","TOLERANCE","TONGUE THICKNESS","TOPOLOGY","TRANSITION FREQUENCY","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","VALUE","VARISTOR VOLTAGE","VENDOR","VIEWING ANGLE","VOLTAGE","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE DIAMETER","WIRE/CABLE GAUGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"Header 5X2","IDC(SMD)-2X5(1.27MM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Header 5X2","","","","","","","GRPB052VWQS-RC","https://www.digikey.com/es/products/detail/sullins-connector-solutions/GRPB052VWQS-RC/1786414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","S9012E-05-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P?","Header, 5-Pin, Dual row"
"Header 6","HDR1X6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Natural","","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=424647&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=424647&src-supplier=Verical","http://www.rapidonline.com/pdf/523653.pdf?src-supplier=Rapid+Electronics","http://www.rapidonline.com/pdf/523653.pdf?src-supplier=Rapid+Electronics","https://www.verical.com/server-webapp/html/getDatasheet?partID=641012&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=641012&src-supplier=Verical","http://www1.futureelectronics.com/doc/JST/B6B-XH-A(LF)(SN).pdf?src-supplier=Future+Electronics","http://www1.futureelectronics.com/doc/JST/B6B-XH-A(LF)(SN).pdf?src-supplier=Future+Electronics","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf?src-supplier=Digi-Key","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf?src-supplier=Digi-Key","","","","","","","","","","Male Pin","","","Brass","","Tin,Lead,Copper","20mR","","","","","","","3A","","","","","","","","","5.75mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","White","Polyamide","","","","","","","","","","","","","1GR","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","2.5mm","","17.4mm","","","","","","","","","JST","B6BXHA(LF)(SN)","","","","","","3A","","","","","","","85°C","","","","","","","","","","","250V","250V","","","","","","","-25°C","","","","","Through Hole","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","6","","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","500","","","","","Bulk","","","","","","","","2.5mm","","","","","","","","","1=0.27, 10=0.258, 100=0.1808, 500=0.15494, 1000=0.12912, 5000=0.11068, 10000=0.1033 (USD)","","","","Altium Limited","","","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","28709","","","Digi-Key","","455-2271-ND","","","","","","","Press-Fit","","","","","","","","","","","","","","","","","","","","","","250V","250V","","","","","","","","22AWG","","P?","Header, 6-Pin"
"INDUCTOR","bobina","","","","","","","","","","","","","","","","","","Nonstandard","","","","","","","","","","","","*","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=709220&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=709220&src-supplier=Verical","http://www.cooperbussmann.com/pdf/c73e479f-f867-4c64-ae26-9c1f23814163.pdf?src-supplier=Element14","http://www.cooperbussmann.com/pdf/c73e479f-f867-4c64-ae26-9c1f23814163.pdf?src-supplier=Element14","http://uk.rs-online.com/webdocs/116a/0900766b8116a1a6.pdf?src-supplier=RSComponents","http://uk.rs-online.com/webdocs/116a/0900766b8116a1a6.pdf?src-supplier=RSComponents","http://www.farnell.com/datasheets/1910184.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1910184.pdf?src-supplier=Element14","http://www.mouser.com/ds/2/87/Bus_Elx_DS_PM-4132_DR1030-473965.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/87/Bus_Elx_DS_PM-4132_DR1030-473965.pdf?src-supplier=Mouser","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_PM-4132_DR1030.pdf?src-supplier=Future+Electronics","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_PM-4132_DR1030.pdf?src-supplier=Future+Electronics","","","","","","","Wirewound","","","","","","","","","","","","Ferrite","","860mA","","","","","","860mA","450mR","","10.3mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3mm","0.118inch","","","","","","","","100uH","30%","","","","","","","","","","","","","","","","","Lead Free","","","","10.5mm","","","","","","","","","Eaton Cooper","DR1030-101-R","","","","","","","1.05A","","","","","","125°C","","","","","","","","","","","","","","","","Not","","","-40°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=2.14, 10=1.977, 100=1.3838, 500=1.12022 (USD)","","","","","","No","","","Unknown","","","","","","","","","","","","","860mA","","1.05A","","","1MHz","","Shielded","","","","","1621","","","Digi-Key","","513-1323-6-ND","","","","","","","SMD/SMT","","100kHz","","","","","30%","","","","","","","","","","","","","","","","","","","0.17637oz","0.405inch","","","","","*","L?","220uH 800 A"
"INDUCTOR  POWER LINE","IND-0603","","","","","","","","","","","","","","","","","","Nonstandard","","","","","","","","","","","","INDUCTOR","","","","","","","Z0603C121APMST","https://www.digikey.com/es/products/detail/kemet/Z0603C121APMST/13146939","","","","","","","","","","","","","","","","","Wirewound","","","","","","","","","","","","Ferrite","","860mA","","","","","","860mA","450mR","","10.3mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3mm","0.118inch","","","","","","","","100uH","30%","","","","","","","","","","","","","","","","","Lead Free","","","","10.5mm","","","","","","","","","Eaton Cooper","DR1030-101-R","","","","","","","1.05A","","","","","","125°C","","","","","","","","","","","","","","","","Not","","","-40°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","Tape and Reel","","","","","","","","","","","","","","","","","","","","","","","No","","","Unknown","","","","","","","","","","","","","860mA","","1.05A","","","1MHz","","Shielded","","","","","","","","Digi-Key","","399-Z0603C121APMSTDKR-ND","","","","","","","SMD/SMT","","100kHz","","","","","30%","","","","","","","","","","","","","","","","","","","0.17637oz","0.405inch","","","","","","L1",""
"INDUCTOR_1","bobina","","","","","","","","","","","","","","","","","","Nonstandard","","","","","","","","","","","","INDUCTOR","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=709220&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=709220&src-supplier=Verical","http://www.cooperbussmann.com/pdf/c73e479f-f867-4c64-ae26-9c1f23814163.pdf?src-supplier=Element14","http://www.cooperbussmann.com/pdf/c73e479f-f867-4c64-ae26-9c1f23814163.pdf?src-supplier=Element14","http://uk.rs-online.com/webdocs/116a/0900766b8116a1a6.pdf?src-supplier=RSComponents","http://uk.rs-online.com/webdocs/116a/0900766b8116a1a6.pdf?src-supplier=RSComponents","http://www.farnell.com/datasheets/1910184.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1910184.pdf?src-supplier=Element14","http://www.mouser.com/ds/2/87/Bus_Elx_DS_PM-4132_DR1030-473965.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/87/Bus_Elx_DS_PM-4132_DR1030-473965.pdf?src-supplier=Mouser","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_PM-4132_DR1030.pdf?src-supplier=Future+Electronics","http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_PM-4132_DR1030.pdf?src-supplier=Future+Electronics","","","","","","","Wirewound","","","","","","","","","","","","Ferrite","","860mA","","","","","","860mA","450mR","","10.3mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3mm","0.118inch","","","","","","","","100uH","30%","","","","","","","","","","","","","","","","","Lead Free","","","","10.5mm","","","","","","","","","Eaton Cooper","DR1030-101-R","","","","","","","1.05A","","","","","","125°C","","","","","","","","","","","","","","","","Not","","","-40°C","","","","","Surface Mount","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=2.14, 10=1.977, 100=1.3838, 500=1.12022 (USD)","","","","","","No","","","Unknown","","","","","","","","","","","","","860mA","","1.05A","","","1MHz","","Shielded","","","","","1621","","","Digi-Key","","513-1323-6-ND","","","","","","","SMD/SMT","","100kHz","","","","","30%","","","","","","","","","","","","","","","","","","","0.17637oz","0.405inch","","","","","","L1",""
"IRF530N/TO_0_1","TO263 - mosfet","","","","","","","","","","","","","","","","","","TO-263-3","","","","","","","","","","","","*","","","","","","","http://www.vishay.com/docs/91020/sihf530s.pdf?src-supplier=Avnet+Europe","http://www.vishay.com/docs/91020/sihf530s.pdf?src-supplier=Avnet+Europe","http://www.mouser.com/ds/2/427/sihf530s-896361.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/427/sihf530s-896361.pdf?src-supplier=Mouser","http://www.vishay.com/docs/91020/sihf530s.pdf?src-supplier=Digi-Key","http://www.vishay.com/docs/91020/sihf530s.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","14A","","","","","","","","","","","","","","","","","","","","","","","","","","","","100V","160mR","100V","","","","Single","","","","","","","","24ns","","","","","","","","","","","20V","","","","","4.83mm","","","","","","","","","","","","670pF","","","","","","","","","","","","","","","","","","","10.67mm","","","","","","","","","Vishay Siliconix","IRF530STRLPBF","","","","","","","","","","","","","175°C","","","3.7W","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount","","","","","","2V","","","","","","","1","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800","","","","","Tape and Reel","","","","","","","","","","","","","3.7W","","","","1=1.62, 10=1.453, 100=1.0689 (USD)","","","","","","No","","160mR","Unknown","","","","","","","","","","","34ns","","","","","","","","","","","","","","843","","","Digi-Key","","IRF530STRLPBFDKR-ND","","","","","","","","","","","","","","","","","","23ns","10ns","","","","","","","","","","","","","","0.068654oz","9.65mm","","","","","*","Q?","Canal N Montaje en superficie 100V 14 A (Tc) 3.7W (Ta), 88W (Tc) D2PAK"
"IRFR210TRPBF","TO252AB/DPAK","","","","","","","","","","","","","","","","","","DPAK","","","","","","","","","","","","*","","","","","","","http://www.mouser.com/ds/2/427/sihfr210-61757.pdf?src-supplier=Mouser","http://www.mouser.com/ds/2/427/sihfr210-61757.pdf?src-supplier=Mouser","http://www.vishay.com/docs/91268/sihfr210.pdf?src-supplier=Digi-Key","http://www.vishay.com/docs/91268/sihfr210.pdf?src-supplier=Digi-Key","http://www.vishay.com/docs/91268/sihfr210.pdf?src-supplier=Future+Electronics","http://www.vishay.com/docs/91268/sihfr210.pdf?src-supplier=Future+Electronics","","","","","","","","","","","","","","","","","","","Tin,Matte","","","2.6A","","","","","","","","","","","","","","","","","","","","","","","","","","","","200V","1.5R","200V","","","","Single","","","","","","","","8.9ns","","","","","","","","","","","20V","","","","","2.39mm","","","","","","","","","","","","140pF","","","","","","","","","","","","","","","Lead Free","","","","6.73mm","","","","","","","","","Vishay","IRFR210TRPBF","","","","","","","","","","","","","150°C","","","2.5W","","","","","","","","","","","","","","","","-55°C","","","","","Surface Mount","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","3","","","","","","","","","","","","","","","","1.5R","","","","","","","","","","","","","","","1","","","","","Tape and Reel","","","","","","","","","","","","","2.5W","","","","1=0.91, 10=0.81, 100=0.5769, 500=0.48896, 1000=0.39832 (USD)","","","","","","No","","1.5R","","","","","","","","","","","","17ns","","","","","","","","","","","","","","584","","","Digi-Key","","IRFR210PBFDKR-ND","","","","","","","","","","","","","","","","","","14ns","8.2ns","","","","","","","","","","","","","","0.050717oz","6.22mm","","","","","*","Q?","Canal N Montaje en superficie 200V 2.6 A (Tc) 2.5W (Ta), 25W (Tc) D-Pak"
"IXDD604SIATR","*SOIC127P600X134-8N","","","","","","","","","","","","","","","","","","SOIC","","","","","","","","","","","","*","","","","","","","http://www.ixysic.com/home/pdfs.nsf/www/IXD_604.pdf/file/IXD_604.pdf?src-supplier=Digi-Key","http://www.ixysic.com/home/pdfs.nsf/www/IXD_604.pdf/file/IXD_604.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ns","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","","","","","","","","","","Ixys Clare","IXDD604SIATR","","","","","","","","","","","","","125°C","4A","","","","","","","35V","","","","","","","","","","","-40°C","","","4.5V","","Surface Mount","","","","","","","","","","","","","","","","","2","","","","","","","","","","2","8","","","","","","","","","","","","","","","","","","10uA","","","","","","4A","","","","","","","2000","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=1.76, 10=1.583, 25=1.4936, 100=1.1948, 250=1.04544, 500=1.01558, 1000=0.80649 (USD)","","50ns","","","","","","","","","","","","","","","","","","9ns","","","","","","","","","","","","","","2000","","","Digi-Key","","212-IXDD604SIADKR-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.019048oz","","","","","","*","U?","Nivel bajo Gate Driver IC No inversor 8-SOIC"
"J1B1211CCD","J1B1211CCD","","","","","","","","Warning","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://snapeda.com/shop?store=DigiKey&id=561300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ceetus","","","","","","","","","","https://snapeda.com/shop?store=Mouser&id=561300","J1B1211CCD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.snapeda.com/parts/J1B1211CCD/Cetus/view-part/561300/?ref=snap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","*","P?","1 Port RJ45 Magjack Connector Through Hole 10/100 Base-T, AutoMDIX"
"KL-CWXM04","HDR1X7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Natural","","","","","","","","https://www.verical.com/server-webapp/html/getDatasheet?partID=424647&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=424647&src-supplier=Verical","http://www.rapidonline.com/pdf/523653.pdf?src-supplier=Rapid+Electronics","http://www.rapidonline.com/pdf/523653.pdf?src-supplier=Rapid+Electronics","https://www.verical.com/server-webapp/html/getDatasheet?partID=641012&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=641012&src-supplier=Verical","http://www1.futureelectronics.com/doc/JST/B6B-XH-A(LF)(SN).pdf?src-supplier=Future+Electronics","http://www1.futureelectronics.com/doc/JST/B6B-XH-A(LF)(SN).pdf?src-supplier=Future+Electronics","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf?src-supplier=Digi-Key","http://www.jst-mfg.com/product/pdf/eng/eXH.pdf?src-supplier=Digi-Key","","","","","","","","","","Male Pin","","","Brass","","Tin,Lead,Copper","20mR","","","","","","","3A","","","","","","","","","5.75mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","White","Polyamide","","","","","","","","","","","","","1GR","","","","17-Jul-2002","Re-released for DXP Platform.","","Lead Free","","2.5mm","","17.4mm","","","","","","","","","JST","B6BXHA(LF)(SN)","","","","","","3A","","","","","","","85°C","","","","","","","","","","","250V","250V","","","","","","","-25°C","","","","","Through Hole","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","6","","","","","1","","","","","","","","","","","","Straight","","","","","","","","","","","500","","","","","Bulk","","","","","","","","2.5mm","","","","","","","","","1=0.27, 10=0.258, 100=0.1808, 500=0.15494, 1000=0.12912, 5000=0.11068, 10000=0.1033 (USD)","","","","Altium Limited","","","","","No SVHC","","","","","","","","","","","","","","","","","","","","","","","","","28709","","","Digi-Key","","455-2271-ND","","","","","","","Press-Fit","","","","","","","","","","","","","","","","","","","","","","250V","250V","","","","","","","","22AWG","","RF?","RF super heterodyne 315mhz rf wireless transmitter and receiver KL-CWXM04-Pin"
"LED","SM/D_0805_21_led","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","D?",""
